Title;Genre;Languages;Series or Movie;Country Availability;Runtime;Director;Actors;View Rating;Rotten Tomatoes Score;Metacritic Score;Awards Received;Awards Nominated For;Boxoffice;Release Date;Netflix Release Date;IMDb Votes;IMDb Score
The Lighthouse of the Orcas;Biography, Drama, Romance;Spanish;Movie;South Africa,Czech Republic,Iceland,France,Lithuania,Russia,Sweden,Spain,Belgium,India,Switzerland,Australia,United Kingdom,Mexico,Canada,United States,Hong Kong,Portugal,Poland,South Korea,Singapore,Romania,Japan,Thailand,Hungary,Turkey,Greece,Slovakia,Brazil,Netherlands,Italy,Israel,Colombia;1-2 hour;Gerardo Olivares;Joaqun Furriel, Joaqun Rapalini, Maribel Verd�, Ana Celentano;TV-MA;;;;2;;16 Dec 2016;7/4/2017;3414;6.8
Horror Story;Horror;Hindi;Movie;South Africa,Iceland,Greece,Russia,Singapore,South Korea,Poland,Hungary,France,India,Sweden,Germany,Slovakia,Lithuania,Spain,United Kingdom,Switzerland,Argentina,Canada,Hong Kong,United States,Belgium,Australia,Mexico,Romania,Japan,Czech Republic,Portugal,Thailand,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;1-2 hour;Ayush Raina;Ravish Desai, Hasan Zaidi, Karan Kundrra, Nishant Malkani;;11;;;;;2-may-14;7/4/2017;1683;4.2
Win It All;Comedy;English;Movie;Israel,Hong Kong,Portugal,Poland,South Korea,Greece,Romania,Singapore,Germany,South Africa,Czech Republic,Slovakia,France,Iceland,Lithuania,Russia,Netherlands,Sweden,Spain,Belgium,India,Switzerland,Australia,United Kingdom,Brazil,Mexico,Argentina,Canada,United States,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia;1-2 hour;Joe Swanberg;Jake Johnson, Edward Kaihatsu, Rony Shemon, Morgan Ng;TV-MA;85;77;;;;07 Apr 2017;7/4/2017;8267;6.2
Line Walker;Action, Crime, Mystery, Thriller;Cantonese, Mandarin, English, Portuguese;Movie;Australia,Romania,Russia,Hungary,Lithuania,India,United Kingdom,Canada,South Africa,Czech Republic,United States,Iceland,Greece,Israel;1-2 hour;Jazz Boon;Francis Ng, Louis Koo, Charmaine Sheh, Nick Cheung;;43;;;1;;19 Aug 2016;5/4/2017;1197;6.1
Bienvenue � bord;Comedy;French;Movie;France;1-2 hour;Eric Lavaine;Valrie Lemercier, Luisa Ranieri, Franck Dubosc, Grard Darmon;Not Rated;22;;;;;5-oct-11;5/4/2017;1591;5.5
Ballermann 6;Comedy;German;Movie;Switzerland,Germany;1-2 hour;Tom Gerhardt, Gernot Roll;Hilmi S�zer, Diana Frank, Tom Gerhardt, Christoph M. Ohrt;;;;1;;;16-oct-97;5/4/2017;3031;5.1
The Laughing Salesman;Animation, Comedy, Drama, Horror;Japanese;Series;Japan;< 30 minutes;;Tru hira;;;;;;;10-oct-89;4/4/2017;39;6.9
Louis C.K. 2017;Comedy;English;Movie;South Africa,Czech Republic,Slovakia,France,Hungary,Iceland,Lithuania,Russia,Netherlands,Sweden,Spain,Belgium,India,Switzerland,Australia,United Kingdom,Mexico,Argentina,Canada,United States,Hong Kong,Israel,Portugal,South Korea,Poland,Singapore,Romania,Germany,Japan,Italy,Thailand,Turkey;1-2 hour;Louis C.K.;Louis C.K.;TV-MA;95;;;;;04 Apr 2017;4/4/2017;9216;7.6
Paradise Kiss;Drama;Japanese;Movie;Japan;1-2 hour;Takehiko Shinjo;Kento Kaku, Osamu Mukai, Keiko Kitagawa, Shunji Igarashi;;;;;;;4-jun-11;2/4/2017;1573;6.6
Prison School;Animation, Comedy;Japanese, English;Series;France,Japan,Belgium,South Korea,Switzerland,Netherlands,Italy;< 30 minutes;;Katsuyuki Konishi, Hiroshi Kamiya, Kenichi Suzumura, Daisuke Namikawa;TV-MA;;;;;;11-jul-15;2/4/2017;3881;7.6
Mob Psycho 100;Animation, Action, Comedy, Fantasy, Horror;Japanese;Series;Japan,Hong Kong,Thailand,Singapore,India,Malaysia;< 30 minutes;;Akio tsuka, Takahiro Sakurai, Setsuo Ito, Miyu Irino;TV-14;;;4;12;;27-oct-18;2/4/2017;15631;8.5
Food Wars!: Shokugeki no Soma;Animation, Comedy, Drama;Japanese, English;Series;Singapore,France,Japan,Thailand,Hong Kong,South Korea,Australia,United Kingdom,Canada,Sweden,South Africa,Iceland,India,United States,Argentina,Turkey,Malaysia,Mexico,Brazil,Israel,Colombia;< 30 minutes;;Minami Takahashi, Yoshitsugu Matsuoka, Maaya Uchida, Ai Kayano;TV-14;;;;2;;03 Apr 2015;2/4/2017;6779;8.2
Gate;Animation, Action, Adventure, Fantasy;Japanese;Series;Japan,Hong Kong,France,Thailand,Singapore,India,Malaysia;< 30 minutes;;Jun ichi Suwabe, Hisako Kanemoto, Nao Tyama, Risa Taneda;TV-14;;;;;;4-jul-15;2/4/2017;2686;7.5
It All Began When I Met You;Romance;Japanese;Movie;Japan;1-2 hour;Katsuhide Motoki;Miwako Ichikawa, Masahiro Higashide, Chieko Baish, Tsubasa Honda;;;;;;;22-nov-13;2/4/2017;108;6.1
JoJos Bizarre Adventure;Animation, Action, Adventure, Drama, Fantasy, Horror, Thriller;Japanese;Series;Singapore,India,Hong Kong,Japan,Canada,United States,Thailand,Portugal,Spain,Czech Republic,France,Sweden,Russia,Poland,Hungary,Slovakia,Germany,Iceland,Lithuania,Belgium,United Kingdom,Romania,Greece,Switzerland,Malaysia,Netherlands,Italy;< 30 minutes;;Fuminori Komatsu, Unsh Ishizuka, Matthew Mercer, Daisuke Ono;TV-MA;;;2;10;;4-oct-12;2/4/2017;9919;8.4
Mary Shelleys Frankenstein;Drama, Horror, Romance, Sci-Fi;English;Movie;Mexico,Argentina,Brazil,Colombia;> 2 hrs;Kenneth Branagh;Tom Hulce, Helena Bonham Carter, Robert De Niro, Kenneth Branagh;R;38;;;20;$22,006,296;4-nov-94;2/4/2017;51683;6.4
First Sunday;Comedy, Crime, Drama;English;Movie;Canada,Switzerland,Belgium,Hungary,Lithuania,Romania,Brazil,Czech Republic,Italy,Australia,Poland,India,Argentina,Slovakia,Mexico,Colombia;1-2 hour;David E. Talbert;Ice Cube, Katt Williams, Loretta Devine, Tracy Morgan;PG-13;;41;;;$37,931,869;11 Jan 2008;2/4/2017;9854;4.5
Ich Seh Ich Seh;Horror, Mystery, Thriller;German;Movie;Japan,Germany;1-2 hour;Veronika Franz, Severin Fiala;Lukas Schwarz, Susanne Wuest, Elias Schwarz, Hans Escher;R;85;81;21;36;$1,178,196;11-sep-15;1/4/2017;44537;6.7
Kingdom;Drama;English;Series;Japan,Belgium,France,Switzerland,Netherlands;< 30 minutes;;Jonathan Tucker, Kiele Sanchez, Matt Lauria, Frank Grillo;TV-MA;;;;;;;1/4/2017;15320;8.5
Princess Hours;Comedy, Romance;Korean;Series;Japan;< 30 minutes;;Ju Ji-Hoon, Yun Eun-hye, Ji-Hyo Song, Bool-am Choi;TV-Y;;;1;4;;11 Jan 2006;1/4/2017;2298;7.7
Tokyo Ghoul: Jack;Animation, Short, Action, Crime, Drama, Horror, Mystery;Japanese;Movie;Japan,United Kingdom,Italy;30-60 mins;Soichi Shimada;Rumi Okubo, Daisuke Namikawa, Ryohei Kimura, Saori Hayami;TV-MA;;;;;;30-sep-15;1/4/2017;1228;7.4
Hoff the Record;Comedy;English;Series;United States;< 30 minutes;;David Hasselhoff, Fergus Craig, Mark Quartley, Asim Chaudhry;;;;1;;;;1/4/2017;326;6.9
To Steal from a Thief;Action, Adventure, Crime, Drama, Thriller;Spanish;Movie;Spain;1-2 hour;Daniel Calparsoro;Luis Tosar, Rodrigo De la Serna, Jose Coronado, Ra�l Arvalo;R;;;1;11;;3-mar-16;1/4/2017;6271;6.3
Pretty Cure Max Heart;;Japanese;Movie;Japan;1-2 hour;;Mayumi Goj, Rie Tanaka, Yko Honma, Yukana Nogami;;;;1;;;6-feb-05;1/4/2017;17;6.8
Legend of the Prince;Biography, Drama, History;Korean;Series;Japan;< 30 minutes;;Seung-su Kim, Kwang-ryul Jun, Il-guk Song, Hye-jin Han;TV-Y;;;3;5;;15-may-06;1/4/2017;1999;7.9
Heart Catch Pretty Cure! The Movie: Fashion Show in Paris;Animation;Japanese;Movie;Japan;1-2 hour;Rie Matsumoto;Shizuka It, Aya Hisakawa, Taeko Kawata, Keiji Fujiwara;;;;1;;;30-oct-10;1/4/2017;25;6.8
Suite Precure The Movie;Animation;Japanese;Movie;Japan;1-2 hour;Rie Matsumoto;Shizuka It, Aya Hisakawa, Taeko Kawata, Keiji Fujiwara;;;;1;;;30-oct-10;1/4/2017;25;6.8
Pretty Cure All Stars New Stage: Echo of Heart;Animation;Japanese;Movie;Japan;1-2 hour;Junji Shimizu;Atsuko Enomoto, Yoko Honna, Misato Fukuen, Aya Hisakawa;TV-Y7-FV;;;;;;17-mar-12;1/4/2017;97;8.2
April 9th;Drama, History, War;Danish, German;Movie;Sweden;1-2 hour;Roni Ezra;Ari Alexander, Pilou Asb�k, Simon Sears, Lars Mikkelsen;;;;;3;;12-mar-15;1/4/2017;4921;6.6
Wild 7;Action;Japanese;Movie;Japan;1-2 hour;Eiichir Hasumi;Kippei Sh�na, Eita, Kiichi Nakai, Kyoko Fukada;;;;;;;21 Dec 2011;1/4/2017;330;5.7
Reply 1994;Comedy, Drama, Romance;Korean;Series;Japan,Switzerland,Slovakia,Portugal,Australia,Thailand,South Korea,Iceland,Singapore,Russia,India,Hungary,Germany,Lithuania,United Kingdom,Spain,South Africa,Canada,Mexico,Belgium,Czech Republic,Argentina,Greece,Sweden,France,Hong Kong,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania;< 30 minutes;;Yoo Yeon-Seok, Woo Jung, Ara Go, Seong-gyoon Kim;;;;6;19;;18-oct-13;1/4/2017;948;7.9
The Tenth Man;Comedy, Drama;Spanish, Hebrew, Yiddish;Movie;Portugal,Poland,Greece,Romania,Spain,Sweden,Iceland,South Africa,France,Czech Republic,Slovakia,Lithuania,Russia,Belgium,Switzerland,India,Australia,United Kingdom,Canada,Argentina,Mexico,Hungary,Turkey,Germany,United States,Thailand,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;1-2 hour;Daniel Burman;Elvira Onetto, Julieta Zylberberg, Alan Sabbagh, Usher Barilka;Unrated;71;66;3;2;$ 63,56;11-feb-16;1/4/2017;944;5.8
The Windmill;Drama, Horror;English;Movie;Poland;1-2 hour;Nick Jongerius;Fiona Hampton, Charlotte Beaumont, Ben Batt, Patrick Baladi;;;;;1;;25-oct-16;1/4/2017;4085;4.8
Mechanic: Resurrection;Action, Adventure, Crime, Thriller;English, Portuguese, Thai, Bulgarian;Movie;Belgium,South Africa,Netherlands,Singapore,Sweden,Australia;1-2 hour;Dennis Gansel;Jason Statham, Michelle Yeoh, Tommy Lee Jones, Jessica Alba;R;31;38;;1;$21,218,403;26 Aug 2016;1/4/2017;77006;5.7
Rosario Tijeras;Crime, Drama, Romance;Spanish;Series;Argentina,United States,Mexico,Colombia;< 30 minutes;Emilio Maill;Flora Martnez, Rodrigo Oviedo, Manolo Cardona, Unax Ugalde;R;81;;3;3;;12 Aug 2005;1/4/2017;2269;6.3
Blackway;Thriller;English;Movie;Brazil;1-2 hour;Daniel Alfredson;Anthony Hopkins, Alexander Ludwig, Julia Stiles, Ray Liotta;R;;;;;$ 27,08;10-jun-16;1/4/2017;9093;5.3
Paws, bones and Rock n Roll;Comedy, Family;Russian;Movie;Russia;1-2 hour;Maksim Sveshnikov;Andrey Merzlikin, Anna Chipovskaya, Andrey Fedortsov, Pyotr Fyodorov;;;;;;;29 Jan 2015;1/4/2017;233;4.6
12 Rounds 3: Lockdown;Action, Crime, Thriller;English;Movie;Portugal,Belgium,Canada,Netherlands,Israel;1-2 hour;Stephen Reynolds;Lochlyn Munro, Daniel Cudmore, Jonathan Good, Roger Cross;R;50;;;;;1-may-20;1/4/2017;3826;5.2
Bala Loca;Drama;Spanish;Series;United States,Argentina,Spain,Mexico,Colombia;< 30 minutes;;Mario Horton, Alejandro Goic, Trinidad Gonz�lez, Ingrid Isensee;;;;;3;;3-jul-16;1/4/2017;232;8
Benvenuti al sud;Comedy;Italian;Movie;Italy;1-2 hour;Luca Miniero;Alessandro Siani, Valentina Lodovini, Claudio Bisio, Angela Finocchiaro;;57;;8;29;;1-oct-10;1/4/2017;8407;6.5
Benvenuti al nord;Comedy;Italian;Movie;Italy;1-2 hour;Luca Miniero;Alessandro Siani, Valentina Lodovini, Claudio Bisio, Angela Finocchiaro;;;;;4;;18 Jan 2012;1/4/2017;3502;5.4
Indovina chi viene a Natale;Comedy;Italian;Movie;Italy;1-2 hour;Fausto Brizzi;Carlo Buccirosso, Diego Abatantuono, Claudio Bisio, Raoul Bova;;;;;;;19 Dec 2013;1/4/2017;649;5.4
2 Soliti Idioti;Comedy;Italian;Movie;Italy;1-2 hour;Enrico Lando;Miriam Giovanelli, Fabrizio Biggio, Beatrice Bello, Francesco Mandelli;;;;;;;20 Dec 2012;1/4/2017;520;3.8
Two Brothers;Adventure, Drama, Family;English, Thai, French;Movie;Portugal,Thailand,Singapore,Australia,Malaysia,Hong Kong;1-2 hour;Jean-Jacques Annaud;Freddie Highmore, Oanh Nguyen, Guy Pearce, Jean-Claude Dreyfus;PG;78;63;2;2;$19,176,754;25-jun-04;1/4/2017;14522;7.1
Trauma;Horror, Mystery, Thriller;English;Movie;India,Australia,United States,Portugal,Singapore,Poland,Romania,Germany,South Africa,Czech Republic,France,Hungary,Iceland,Lithuania,Belgium,Switzerland,United Kingdom,Mexico,South Korea,Hong Kong,Argentina,Russia,Slovakia,Sweden,Japan,Thailand,Greece,Turkey,Brazil,Netherlands,Israel,Italy,Colombia;1-2 hour;Dario Argento;Christopher Rydell, Asia Argento, Piper Laurie, Frederic Forrest;R;57;;;2;;12-mar-93;1/4/2017;6341;5.9
Salaakhen;Action, Drama;Hindi;Movie;Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Hungary,Czech Republic,Slovakia,Malaysia,Iceland;> 2 hrs;Guddu Dhanoa;Sunny Deol, Farida Jalal, Raveena Tandon, Anupam Kher;;;;1;;;24 Apr 1998;1/4/2017;403;5.4
Beyond All Boundaries;Short, War;English;Movie;Hungary,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Lithuania,Czech Republic,Slovakia,Malaysia,Iceland;1-2 hour;David Briggs;Kevin Bacon, Patricia Clarkson, Kevin Connolly, Corbin Bleu;;;;;1;;9-nov-09;1/4/2017;458;7.3
Elaan;Action, Crime, Thriller;Hindi;Movie;Hungary,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Czech Republic,Slovakia,Malaysia,Iceland;> 2 hrs;Guddu Dhanoa;Madhoo, Farida Jalal, Akshay Kumar, Amrish Puri;Not Rated;;;;;;21 Jan 1994;1/4/2017;834;5.3
Deuces;Sci-Fi, Thriller;;Movie;Hungary,Lithuania,India,Australia,United Kingdom,Canada,Russia,South Africa,Czech Republic,United States,Slovakia,Malaysia,Iceland;1-2 hour;Michael Winnick;Harold Cannon, Trey Alexander, Nicholl Hiren, Tiffany Paige;R;;;;;;;1/4/2017;115;4
Barely Lethal;Action, Comedy;English;Movie;Canada,India;1-2 hour;Kyle Newman;Samuel L. Jackson, Madeleine Stack, Jaime King, Eva G. Cooper;PG-13;26;44;;;$ 6,08;30 Apr 2015;1/4/2017;20103;5.4
Little Women;Drama, Family, Romance;English, German, French;Movie;South Korea,Japan,Hong Kong,Netherlands,Iceland,Israel,Sweden,Greece,India;1-2 hour;Gillian Armstrong;Winona Ryder, Gabriel Byrne, Trini Alvarado, Samantha Mathis;PG;;87;7;20;$50,083,616;25 Dec 1994;1/4/2017;52463;7.3
It Could Happen to You;Comedy, Drama, Romance;English, Spanish;Movie;Lithuania,Hungary,Czech Republic,Iceland,Poland,Sweden,Turkey,Slovakia,Romania;1-2 hour;Andrew Bergman;Wendell Pierce, Nicolas Cage, Bridget Fonda, Rosie Perez;PG;71;64;;;$37,939,757;29-jul-94;1/4/2017;36143;6.4
First Knight;Action, Adventure, Drama, Romance;English;Movie;Hong Kong,Thailand,United Kingdom,Canada,South Korea,Mexico,Brazil,Spain,Singapore,Argentina,Malaysia,South Africa,Switzerland,Germany,Colombia;> 2 hrs;Jerry Zucker;Julia Ormond, Ben Cross, Sean Connery, Richard Gere;PG-13;43;57;;;$37,600,435;7-jul-95;1/4/2017;68594;6
Oasis: Supersonic;Documentary, Biography, Music;English;Movie;United Kingdom,Japan;> 2 hrs;Mat Whitecross;Paul Arthurs, Debbie Turner, Mark Coyle, Christine Biller;R;84;71;2;2;$ 242,87;26-oct-16;1/4/2017;10364;7.9
Mostly Sunny;Documentary;English;Movie;Portugal,Poland,Greece,Romania,Singapore,Germany,South Africa,Spain,Czech Republic,Slovakia,Hungary,Iceland,Sweden,Lithuania,France,Netherlands,Russia,Belgium,Switzerland,India,Australia,Brazil,United Kingdom,Mexico,Argentina,United States,South Korea,Hong Kong,Japan,Israel,Italy,Thailand,Turkey,Canada,Malaysia,Colombia;1-2 hour;Dilip Mehta;Daniel Weber, Kiran Bedi, Sunny Leone, Sundeep Vohra;TV-MA;43;;;;;10 Jan 2017;1/4/2017;648;5.4
Pieles;Comedy, Drama, Fantasy;Spanish;Movie;Israel,Portugal,South Korea,Singapore,Romania,Poland,Greece,South Africa,Slovakia,Czech Republic,Germany,France,Iceland,Russia,Lithuania,Netherlands,Sweden,Belgium,India,Switzerland,Australia,United Kingdom,Brazil,Mexico,Argentina,Canada,United States,Spain,Hong Kong,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia;1-2 hour;Eduardo Casanova;Carmen Machi, Candela Pe�a, Macarena G�mez, Ana Polvorosa;TV-MA;;;4;9;;01 Apr 2017;1/4/2017;4678;6.2
Joe Cocker: Mad Dog with Soul;Documentary;English;Movie;France,Germany;1-2 hour;John Edginton;Phil Crookes, Vic Cocker, Ray Charles, Joe Cocker;;56;;;;;01 Apr 2017;1/4/2017;748;7.2
Five Nights in Maine;Drama;English;Movie;Hong Kong,Israel,Portugal,Singapore,Poland,Greece,Romania,South Africa,Germany,Czech Republic,Slovakia,Hungary,France,Iceland,Lithuania,Russia,Netherlands,Sweden,Spain,India,Belgium,Switzerland,Australia,United Kingdom,Brazil,Argentina,Mexico,Canada,United States,South Korea,Japan,Italy,Thailand,Turkey,Malaysia,Colombia;1-2 hour;Maris Curran;Hani Furstenberg, David Oyelowo, Neal Lerner, Teyonah Parris;Unrated;27;45;2;3;$ 15,59;05 Aug 2016;1/4/2017;741;4.7
The Night Shift;Drama, Romance;English;Series;United Kingdom,United States,Switzerland,Germany;< 30 minutes;;Brendan Fehr, Jill Flint, Eoin Macken, Robert Bailey Jr.;TV-14;;;3;2;;27-may-14;31/3/2017;10968;7.4
Nerve;Adventure, Crime, Drama, Mystery, Thriller;English;Movie;Romania,South Korea,Hungary,Japan,Russia,Canada,Thailand,Netherlands,Czech Republic,Turkey,Germany,Switzerland,Mexico,Argentina,Brazil,Colombia;1-2 hour;Henry Joost, Ariel Schulman;Emma Roberts, Dave Franco, Emily Meade, Miles Heizer;PG-13;66;58;;5;$38,583,626;27-jul-16;31/3/2017;115953;6.5
Lady Chatterleys Lover;Drama, Romance;English;Movie;United Kingdom;1-2 hour;Just Jaeckin;Ann Mitchell, Nicholas Clay, Sylvia Kristel, Shane Briant;R;30;;;;;7-may-82;31/3/2017;2473;5.2
Rooney: The Man Behind The Goals;Documentary;English;Movie;United Kingdom;30-60 mins;Tim MacKenzie-Smith;Coleen Rooney, David Beckham, Gary Lineker, Wayne Rooney;;;;;;;5-oct-15;31/3/2017;82;6.6
Little Children;Drama, Romance;English;Movie;Brazil,Argentina,Mexico,Colombia;> 2 hrs;Todd Field;Jennifer Connelly, Jackie Earle Haley, Kate Winslet, Patrick Wilson;R;80;75;20;61;$5,463,019;9-feb-07;31/3/2017;105655;7.5
Special Forces: Ultimate Hell Week;Documentary, Action, War;English;Series;Hong Kong;< 30 minutes;;Reggie Yates, Danny Bent, Stephen Mark Doran, Andy Gatenby;;;;;;;30 Aug 2015;31/3/2017;171;7.3
Maggie and Bianca: Fashion Friends;Comedy, Drama, Family, Music, Romance;Italian;Series;France,Portugal,Belgium,Netherlands,Spain,Italy,Greece,Sweden,Turkey;< 30 minutes;;Sergio Ruggeri, Giorgia Boni, Luca Murphy, Emanuela Rei;TV-Y7;;;;1;;29 Aug 2016;31/3/2017;134;6
13 Reasons Why;Drama, Mystery, Thriller;English;Series;Lithuania,Russia,Germany,France,Iceland,Netherlands,Sweden,Spain,India,Belgium,Switzerland,Australia,Brazil,United Kingdom,Hong Kong,Israel,South Korea,Portugal,Singapore,Poland,Romania,Greece,South Africa,Czech Republic,Slovakia,Mexico,Argentina,Canada,United States,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia;< 30 minutes;;Dylan Minnette, Brandon Flynn, Alisha Boe, Christian Navarro;TV-MA;;;4;15;;31-mar-17;31/3/2017;255448;7.6
The Discovery;Drama, Romance, Sci-Fi, Thriller;English;Movie;Slovakia,Czech Republic,Lithuania,Russia,Germany,Iceland,France,Sweden,Netherlands,Spain,Belgium,India,Switzerland,Australia,United Kingdom,Brazil,Hong Kong,Singapore,Israel,Portugal,South Korea,Romania,Greece,Poland,South Africa,Mexico,Argentina,Canada,United States,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia;1-2 hour;Charlie McDowell;Jason Segel, Robert Redford, Brian McCarthy, Mary Steenburgen;TV-MA;45;54;;;;31-mar-17;31/3/2017;29894;6.3
Bordertown;Crime, Mystery, Thriller;English, Spanish, Central American Indian languages;Series;Lithuania,United Kingdom,Romania,Canada,United States,Germany,Australia,Russia,Slovakia,Sweden,Hong Kong,Singapore,India,Japan,Mexico,South Korea,Switzerland,South Africa,Argentina,Thailand,Hungary,Czech Republic,Belgium,Malaysia,Brazil,Netherlands,Italy,Iceland,Colombia;< 30 minutes;Gregory Nava;Irineo Alvarez, Jennifer Lopez, Rene Rivera, Maya Zapata;R;64;;;1;;16-may-08;31/3/2017;10168;6.1
Five Came Back;Adventure, Drama, Thriller;English, Spanish;Series;Czech Republic,Slovakia,Lithuania,Russia,Germany,France,Iceland,Sweden,Netherlands,Spain,India,Belgium,Switzerland,Australia,United Kingdom,Brazil,Hong Kong,South Korea,Singapore,Israel,Portugal,Poland,Greece,Romania,South Africa,Argentina,Mexico,Canada,United States,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia;< 30 minutes;John Farrow;Lucille Ball, Wendy Barrie, John Carradine, Chester Morris;Passed;61;;;;;23-jun-39;31/3/2017;1799;7.1
Fear Dot Com;Crime, Horror, Thriller;English;Movie;Switzerland,France,Iceland,Italy,Sweden,South Africa,Germany;1-2 hour;William Malone;Stephen Rea, Stephen Dorff, Natascha McElhone, Udo Kier;R;3;16;3;3;$13,258,249;30 Aug 2002;31/3/2017;20279;3.4
The House That Made Me;Reality-TV;Hindi;Series;Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Hungary,Czech Republic,Slovakia,Malaysia,Iceland;< 30 minutes;;Vinay Pathak;;;;;;;;31/3/2017;13;5.7
In the Cut;Mystery, Thriller;English;Movie;Russia;1-2 hour;Jane Campion;Jennifer Jason Leigh, Meg Ryan, Michael Nuccio, Allison Nega;R;33;46;1;2;$4,750,602;31-oct-03;31/3/2017;21971;5.3
Christine;Horror, Thriller;English;Movie;Romania,Hungary,Lithuania,Switzerland,Japan,Canada,Czech Republic,Germany,Iceland,Poland,Greece,Slovakia,Sweden,Turkey;1-2 hour;John Carpenter;Alexandra Paul, Keith Gordon, John Stockwell, Robert Prosky;R;69;57;;2;$21,017,849;09 Dec 1983;31/3/2017;72781;6.7
The Natural;Drama, Sport;English;Movie;Israel,Belgium,Portugal;> 2 hrs;Barry Levinson;Kim Basinger, Robert Duvall, Robert Redford, Glenn Close;PG;82;61;3;8;$47,951,979;11-may-84;31/3/2017;44266;7.5
Under Suspicion;Crime, Drama, Thriller;English, Spanish, Italian;Movie;India;1-2 hour;Stephen Hopkins;Morgan Freeman, Thomas Jane, Monica Bellucci, Gene Hackman;R;49;43;;2;$ 260,56;15-nov-00;31/3/2017;22737;6.5
Timeless;Action, Adventure, Drama, Sci-Fi;English;Series;Romania,Lithuania,Russia,Hong Kong,South Korea,Canada,United Kingdom,France,Belgium,Portugal,Switzerland,South Africa,Thailand,Hungary,Iceland,Czech Republic,Netherlands,Spain,Germany,Israel,Poland,Singapore,Greece,Slovakia,Malaysia,Sweden,Turkey;< 30 minutes;;Matt Lanter, Malcolm Barrett, Paterson Joseph, Abigail Spencer;TV-14;;;;7;;3-oct-16;31/3/2017;36627;7.7
Half Past Dead;Action, Crime, Thriller;English;Movie;South Korea,Belgium,France,Portugal,Iceland,Switzerland,Japan,Spain,Israel,Greece,Sweden;1-2 hour;Don Michael Paul;Steven Seagal, Ja Rule, Nia Peeples, Morris Chestnut;PG-13;3;23;;4;$15,567,860;15-nov-02;31/3/2017;14656;4.7
Blue Thunder;Action, Crime, Drama, Sci-Fi, Thriller;English;Movie;France,Japan,Hungary,Lithuania,Romania,Iceland,Switzerland,South Korea,Hong Kong,Thailand,Czech Republic,Spain,Germany,Portugal,Poland,Singapore,Greece,Malaysia,Slovakia,Sweden,Turkey,Belgium;1-2 hour;John Badham;Roy Scheider, Warren Oates, Daniel Stern, Candy Clark;R;78;66;1;3;$42,313,354;13-may-83;31/3/2017;17590;6.4
The Quick and the Dead;Action, Romance, Thriller, Western;English, Spanish;Movie;Belgium,Iceland,Australia,Sweden;1-2 hour;Sam Raimi;Sharon Stone, Leonardo DiCaprio, Russell Crowe, Gene Hackman;R;59;49;;1;$18,636,537;10-feb-95;31/3/2017;85809;6.4
The Remains of the Day;Drama, Romance;English, French, German;Movie;Portugal,Switzerland,Spain,Germany,Italy,India,Sweden,Turkey,South Africa,Russia;> 2 hrs;James Ivory;Anthony Hopkins, Emma Thompson, Christopher Reeve, John Haycraft;PG;95;86;17;41;$23,237,911;19-nov-93;31/3/2017;66429;7.8
The Squid and the Whale;Comedy, Drama;English;Movie;Romania,Belgium,Czech Republic,Japan,Poland,Hungary,Lithuania,France,Switzerland,United States,Canada,Slovakia,Netherlands,Italy,Israel;1-2 hour;Noah Baumbach;Laura Linney, Jeff Daniels, Jesse Eisenberg, Owen Kline;R;92;82;23;49;$7,372,734;16 Dec 2005;31/3/2017;78943;7.3
The Next Karate Kid;Action, Drama, Family, Romance, Sport;English;Movie;Romania,Poland,Hungary,Lithuania,Czech Republic,United States,Canada,Slovakia,Iceland,Netherlands;1-2 hour;Christopher Cain;Hilary Swank, Constance Towers, Michael Ironside, Pat Morita;PG;7;36;1;;$8,914,777;9-sep-94;31/3/2017;27107;4.5
The Professionals;Action, Adventure, Western;English, Spanish;Movie;Canada,Spain,Germany,Australia,Switzerland;1-2 hour;Richard Brooks;Woody Strode, Robert Ryan, Burt Lancaster, Lee Marvin;PG-13;88;75;3;9;$19,537,346;4-nov-66;31/3/2017;14110;7.3
Short Circuit 2;Comedy, Drama, Family, Sci-Fi;English;Movie;Turkey;1-2 hour;Kenneth Johnson;Tim Blaney, Fisher Stevens, Michael McKean, Cynthia Gibb;PG;38;;;2;$21,630,088;6-jul-88;31/3/2017;23833;5.8
