Title;Genre;Languages;Series or Movie;Country Availability;Runtime;Director;Actors;View Rating;Rotten Tomatoes Score;Metacritic Score;Awards Received;Awards Nominated For;Boxoffice;Release Date;Netflix Release Date;IMDb Votes;IMDb Score
Brothers Shadow;Drama;English;Movie;United States,Canada,Australia,United Kingdom;1-2 hour;Todd S. Yellin;Scott Cohen, Ato Essandoh, Lisa Emery, Katie Danziger;;33;;;1;;29 Apr 2006;14/4/2015;129;6.1
Sympathy for Mr. Vengeance;Crime, Drama, Thriller;Korean, Korean Sign Language;Movie;South Korea;> 2 hrs;Chan-wook Park;Ji-Eun Lim, Bae Doona, Shin Ha-kyun, Kang-ho Song;R;54;56;7;5;$ 45,29;29-mar-02;14/4/2015;62915;7.6
Bodyguard;Action, Comedy, Drama, Romance;Hindi, English;Movie;Lithuania,United Kingdom,Russia,Germany,Australia,Poland,India,Hong Kong,Japan,United States,Canada,France,Spain,Singapore,Argentina,Greece,Czech Republic,Switzerland,Slovakia,Sweden,Thailand,Mexico,Belgium,Turkey,Malaysia,Hungary,Brazil,Netherlands,Italy,South Africa,Iceland,Portugal,Israel,Colombia,Romania;> 2 hrs;Siddique;Salman Khan, Hazel Keech, Kareena Kapoor, Raj Babbar;Not Rated;;41;17;11;$1,834,384;31 Aug 2011;14/4/2015;22296;4.6
Black Friday;Action, Crime, Drama, History;Hindi;Movie;Lithuania,United Kingdom,Russia,Germany,Australia,Poland,India,Hong Kong,Japan,United States,Canada,France,Spain,Singapore,Argentina,Greece,Czech Republic,Switzerland,Slovakia,Sweden,Thailand,Mexico,Belgium,Turkey,Malaysia,Hungary,Brazil,Netherlands,Italy,South Africa,Iceland,Portugal,Israel,Colombia,Romania;> 2 hrs;Anurag Kashyap;Aditya Srivastav, Pawan Malhotra, Dibyendu Bhattacharya, Kay Kay Menon;Not Rated;89;76;1;4;$ 35,00;9-feb-07;14/4/2015;18938;8.5
Confession of Murder;Action, Crime, Thriller;Korean;Movie;South Korea;1-2 hour;Byung-gil Jung;Shi-hoo Park, Yeong-ae Kim, Hae-Kyun Jung, Jae-yeong Jeong;Not Rated;65;;2;4;;8-nov-12;14/4/2015;9060;7.1
Days of Being Wild;Crime, Drama, Romance;Cantonese, Shanghainese, Tagalog, English, Mandarin;Movie;South Korea;1-2 hour;Kar-Wai Wong;Maggie Cheung, Andy Lau, Leslie Cheung, Carina Lau;Not Rated;90;96;17;9;$ 146,31;15 Dec 1990;14/4/2015;18295;7.6
The Berlin File;Action, Thriller;Korean, English, German;Movie;South Korea;> 2 hrs;Seung-wan Ryoo;Jung-woo Ha, Seung-bum Ryoo, Suk-kyu Han, Jun Ji-Hyun;Not Rated;43;54;10;8;$ 665,21;15-feb-13;14/4/2015;6595;6.6
Maria Bamford: The Special Special Special;Comedy;English;Movie;Canada,South Africa,Russia,Lithuania,Romania,Hungary,United Kingdom,India,Singapore,Thailand,Czech Republic,United States;30-60 mins;Jordan Brady;Maria Bamford, Joel Bamford, Wayne Federman, Marilyn Bamford;TV-MA;;;;;;28-nov-12;14/4/2015;498;6.9
The Babadook;Drama, Horror, Mystery, Thriller;English;Movie;Australia,Spain;1-2 hour;Jennifer Kent;Noah Wiseman, Essie Davis, Hayley McElhinney, Daniel Henshall;Not Rated;98;86;55;64;$ 964,41;28-nov-14;14/4/2015;197502;6.8
The Barbarian Invasions;Comedy, Crime, Drama, Mystery, Romance;French, English;Movie;France;1-2 hour;Denys Arcand;Rmy Girard, Marie-Jose Croze, Marina Hands, Stphane Rousseau;R;81;70;50;37;$8,544,975;5-mar-04;14/4/2015;28331;7.6
Rang De Basanti;Comedy, Crime, Drama;Hindi;Movie;India,Slovakia,Lithuania,Canada,United Kingdom,Australia,Singapore,Russia,Czech Republic,Hong Kong,Germany,France,Romania,Mexico,Belgium,Switzerland,Argentina,South Africa,Iceland,Thailand,Hungary,Poland,Spain,Portugal,Sweden,Greece,Japan,United States,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;> 2 hrs;Rakeysh Omprakash Mehra;Sharman Joshi, Kunal Kapoor, Siddharth, Aamir Khan;Not Rated;;;37;30;$2,197,694;26 Jan 2006;14/4/2015;112320;8.2
Break Ke Baad;Comedy, Drama, Romance;Hindi, English;Movie;Lithuania,United Kingdom,Russia,Germany,Australia,Poland,India,Hong Kong,Japan,United States,Canada,France,Spain,Singapore,Argentina,Greece,Czech Republic,Switzerland,Slovakia,Sweden,Thailand,Mexico,Belgium,Turkey,Malaysia,Hungary,Brazil,Netherlands,Italy,South Africa,Iceland,Portugal,Israel,Colombia,Romania;1-2 hour;Danish Aslam;Shahana Goswami, Imran Khan, Deepika Padukone, Lillete Dubey;;17;;;2;$ 427,63;26-nov-10;14/4/2015;3958;5.2
